Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
18:32:48,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:48,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.993
18:32:48,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:48,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:48,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.115
18:32:49,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:49,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:49,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:50,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.3941
18:32:50,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:51,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:51,NETWORK_IO,IN_RECV,140.82.113.22,192.168.52.110,0.0625
18:32:51,NETWORK_IO,IN_RECV,140.82.113.22,192.168.52.110,0.0625
18:32:51,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2546
18:32:51,NETWORK_IO,IN_RECV,140.82.113.22,192.168.52.110,0.0625
18:32:51,NETWORK_IO,IN_RECV,140.82.113.22,192.168.52.110,0.0625
18:32:52,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:52,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:52,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0056
18:32:52,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:52,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0041
18:32:52,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.557
18:32:53,NETWORK_IO,OUT_SEND,192.168.52.110,52.182.143.213,0.0115
18:32:54,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:54,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:54,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.2.236,0.0941
18:32:54,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.8085
18:32:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1543
18:32:55,NETWORK_IO,OUT_SEND,192.168.52.110,52.182.143.213,0.0115
18:32:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.563
18:32:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.162
18:32:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1477
18:32:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0744
18:32:55,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.2365
18:32:56,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:56,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:56,NETWORK_IO,IN_RECV,172.64.148.235,192.168.52.110,0.0166
18:32:56,NETWORK_IO,IN_RECV,172.64.148.235,192.168.52.110,0.0166
18:32:56,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0158
18:32:58,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:58,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:58,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0009
18:32:58,TCP_RETRANSMIT,DROP,192.168.52.110,151.101.1.91,1.0
18:32:58,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:58,NETWORK_IO,IN_RECV,52.182.143.213,192.168.52.110,0.0166
18:32:59,NETWORK_IO,IN_RECV,127.0.0.1,127.0.0.1,0.0312
